UUID;QUOTE_TRANSCRIPTION;ANCHOR;TYPE;URI;VOCAB_LABEL;LAT;LNG;PLACE_TYPE;VERIFICATION_STATUS;TAGS;COMMENTS
b10c52b3-6842-4c4c-805c-5e907c54454f;﻿Ἀγαθημέρου;char-offset:0;PERSON;;;;;;;author;
69fa5390-8a76-4266-916b-4ec2496ade2e;Ἀναξίμανδρος;char-offset:47;PERSON;;;;;;;;
5ec73bd5-ab01-4cd4-960c-9e5437e79f65;Μιλήσιος;char-offset:62;PLACE;http://pleiades.stoa.org/places/550742;Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay;39.528399;26.974176;settlement;VERIFIED;;#documentation: when possible, i am choosing only one place reference and ignoring unlocated references.
783252ea-d659-4d64-9ca2-797fbbf9dca4;Θάλεω;char-offset:80;PERSON;;;;;;;;
a4feb9bd-e741-4cef-89db-8708ce8814b2;οἰκουμένην;char-offset:108;PLACE;;;;;;UNVERIFIED;concept;
f742a2fc-1cde-477c-848e-2c8f280b1fc5;Ἑκαταῖος;char-offset:145;PERSON;;;;;;;;
94fa613a-727a-4a54-b11f-5fdff31e53cb;Μιλήσιος;char-offset:156;PLACE;http://pleiades.stoa.org/places/550742;Miletos?|Miletos?, Uyuncak Köprü, over Havran Çay;39.528399;26.974176;settlement;VERIFIED;;
4bf2690a-c247-40f0-971b-4da37b433712;Ἑλλάνικος;char-offset:221;PERSON;;;;;;;;
9ab9a185-c4f5-45ae-b5d0-aec3f0d0a247;Λέσβιος;char-offset:237;PLACE;http://pleiades.stoa.org/places/550696;Lesbos (island)|Lesbos Ins., Lesbos;39.20874;26.10052;island;VERIFIED;;
d29cfd3f-956d-4e47-99f2-66f3cf037686;Δαμάστης;char-offset:297;PERSON;;;;;;;;
0e8b60c1-7d0d-43fe-a7c6-25eee2511969;Κιτιεὺς;char-offset:308;PLACE;http://pleiades.stoa.org/places/123082;Citium;;;unlocated;VERIFIED;;
acfe3823-ff3b-4cbe-bd4d-a92c2e80312d;Ἑκαταίου;char-offset:334;PERSON;;;;;;;;
679527c7-ff5a-497b-9d4d-c1d788607ed1;Δημόκριτος;char-offset:378;PERSON;;;;;;;;
6c50760d-c649-45fb-b890-3e71109099b7;Εὔδοξος;char-offset:393;PERSON;;;;;;;;
c90fd72c-d935-4c89-ad9f-ce512ddb105f;οἰκουμένην;char-offset:487;PLACE;;;;;;UNVERIFIED;concept;#documentation: concept indicates a geographical entity with no specific location
9d3a23a8-e7bf-497a-83ee-3f80092f6f6c;Ἑλλάδα;char-offset:540;PLACE;http://pleiades.stoa.org/places/1001896;Hellas;37.5;22.5;province;VERIFIED;region;#documentation: region marks any spatial extent on land.
93ea4f83-2b1b-46e8-90a7-cc62d81db3f1;Δελφούς;char-offset:558;PLACE;http://pleiades.stoa.org/places/540726;Delphi|Delphi, Delphi;38.482289;22.501169;sanctuary,settlement;VERIFIED;settlement;#documentation: we need to decide what to do with multiple gazetteer references. for the sake of consistency, I am preferring Pleiades over other gazetteers, but multiple choices tend to affect the annotation export format.
e2c2ac3c-eac1-4abd-9d93-3982c623630c;Δημόκριτος;char-offset:608;PERSON;;;;;;;;
c83744fd-0fda-4205-96f9-24fbe59d6d08;Δικαίαρχος ὁ περιπατητικός;char-offset:725;PERSON;;;;;;;;#documentation: i am tagging as education references to the philosophical, religious school of individuals expressed in the form of adjectives.
e0fa3c05-8e12-4189-aaee-39f49e1addd2;Δικαίαρχος;char-offset:725;PERSON;;;;;;;;
8200e58a-4a7d-4dc9-a1df-4c91c7498726;Εὔδοξος;char-offset:753;PERSON;;;;;;;;
ac31d51a-a03c-4807-bd57-a4133f751393;Ἐρατοσθένης;char-offset:799;PERSON;;;;;;;;
4f7de26a-2365-4274-943f-1d3579b20118;Κράτης;char-offset:830;PERSON;;;;;;;;
6e02cd23-0680-4301-a5d1-f1d0b86b4afe;Ἵππαρχος;char-offset:855;PERSON;;;;;;;;
e776f8a8-aca8-4f14-964f-670be55fd52f;Ποσειδώνιος;char-offset:899;PERSON;;;;;;;;
a9344e0d-041f-4495-982a-c7d44f67c18a;Ποσειδώνιος δ’ ὁ Στωϊκὸς;char-offset:899;PERSON;;;;;;;;
