Name,Manuscript / Print,Date,Type
B,"London, BL Add MS 19391",14th century,manuscript
C,Cambridge Gg. II 33,a. 1543,manuscript
c1,Parisinus Graecus 2554A,16th century,manuscript
c2,Parisinus Graecus 2554B,16th century,manuscript
c3,Parisinus Graecus 1405,16th century,manuscript
c5,Vaticanus Graecus 1415,16th century,manuscript
c7,Ambrosianus C 263 inf.,16th century,manuscript
c8,Parisinus Graecus 1406,16th century,manuscript
c9,Vaticanus Palatinus Graecus 62,16th century,manuscript
c12,Parisinus Graecus 2857,16th century,manuscript
c13,"London Old Royal 16, c. IV, pt. 2",16th century,manuscript
Vossius,Vossianus Gr. In-oct. 7,17th century,manuscript
Holstenius,"Carte Allacci, XCVII 4",17th century,manuscript
Bullialdus,Parisinus Supplément Grec 292,17th century,manuscript
Miller,Parisinus Supplément Grec 1344,18th century,manuscript
monacensis287,Monacensis Graecus 287,14th century,manuscript
monacensis490,Monacensis Graecus 490,15th century,manuscript
parisinus1739,Parisinus Graecus 1739,16th century,manuscript
parisinus2847,Parisinus Graecus 2847,16th century,manuscript
gronovius,"Jacob Gronow, Geographia Antiqua",Lugduni Batavorum 1697,print edition
hoffmann,"Samuel Friedrich Hoffmann, Agathemeri Hypotyposes Geographiae",Leipzig 1842,print edition
hudson,"John Hudson, Geographiae Veteris Scriptores Graeci Minores, vol. 2",E Theatro Sheldoniano 1703,print edition
mueller,"Karl Müller, Geographi Graeci Minores, Vol. 2","Paris, Firmin Didot 1861",print edition
tennulius,"Samuel Tennulius, Agathemeris Orthonis filii compendiariae geographiae expositionum libri duo",Amstelodami 1671,print edition
wendelin,"Göttingen Universitätsbibliothek, Philol. Hds. 75",17th century,manuscript
diller,"Aubrey Diller, Agathemerus' Sketch of Geography","""GRBS"" 16.1, 1975",print edition
