Event string,Formalized reconstruction,Passage (CTS URN),Locus ,Type,Absolute/Relative
,,,,,
κατ’ ἀπηλιώτην Βακτριανούς,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7,2.7,position,absolute
κατ’ εὖρον Ἰνδούς,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7,2.7,position,absolute
"κατὰ φοίνικα
Ἐρυθρὰν θάλασσαν καὶ Αἰθιοπίαν",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7,2.7,position,absolute
"κατὰ νότον τὴν (ὑπὲρ Αἴγυπτον)
Αἰθιοπίαν",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
κατὰ λευκόνοτον τοὺς (ὑπὲρ Σύρτεις) Γαράμαντας,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
"κατὰ
λίβα Αἰθίοπας",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
"κατὰ ζέφυρον Στήλας
καὶ ἀρχὰς Λιβύης καὶ Εὐρώπης",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
"κατὰ ἀργέστην Ἰβηρίαν τὴν νῦν
Ἱσπανίαν",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
κατὰ θρασκίαν Κελτοὺς καὶ τὰ ὅμορα,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
κατὰ ἀπαρκτίαν τοὺς (ὑπὲρ Θράκην) Σκύθας,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
"κατὰ βορρᾶν Πόντον Μαιῶτιν
Σαρμάτας",ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
κατὰ καικίαν Κασπίαν θάλασσαν καὶ Σάκας,ADP + ADV (vb. οἰκεῖν) ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:2.7 ,2.7,position,absolute
τὰ γὰρ ἄνω τῶν ἐκβολῶν τοῦ Τανάιδος εἰς βορρᾶν,ADP εἰς ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:4.18,4.18,position,absolute
"τὸ δὲ
στόμα τοῦ Ἀδρίου ... ἔχει διάπλουν
σταδίων ψ ἀπὸ ἄκρας Ἰαπυγίας ἐπὶ Κεραύνια ",ADP ἀπό + ADP ἐπί + VB ἔχειν + OBJ + GEN.mes. ,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.8,3.8,distance,absolute
"τὰ δὲ (κατὰ
Δειρὴν) στενὰ σταδίων ξ",[VB εἶναι] + GEN.mes.,urn:cts:greekLit:tlg0090.tlg001.opp-grc6:3.14,3.14,distance,absolute
